2026-05-15 16:50:27.468 [main] INFO  com.weiyj.web.WeiblogMdWebApplication - [logStartupProfileInfo,660] - The following 1 profile is active: "dev"
2026-05-15 16:50:28.318 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - [registerRepositoriesIn,143] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-15 16:50:28.380 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - [registerRepositoriesIn,211] - Finished Spring Data repository scanning in 55 ms. Found 2 JPA repository interfaces.
2026-05-15 16:50:28.944 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - [initialize,111] - Tomcat initialized with port 8080 (http)
2026-05-15 16:50:28.957 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-15 16:50:28.958 [main] INFO  org.apache.catalina.core.StandardService - [log,173] - Starting service [Tomcat]
2026-05-15 16:50:28.959 [main] INFO  org.apache.catalina.core.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/10.1.39]
2026-05-15 16:50:29.036 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - [log,173] - Initializing Spring embedded WebApplicationContext
2026-05-15 16:50:29.036 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [prepareWebApplicationContext,301] - Root WebApplicationContext: initialization completed in 1526 ms
2026-05-15 16:50:29.155 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - [logPersistenceUnitInformation,31] - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-05-15 16:50:29.215 [main] INFO  org.hibernate.Version - [logVersion,44] - HHH000412: Hibernate ORM core version 6.5.3.Final
2026-05-15 16:50:29.253 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - [initiateService,50] - HHH000026: Second-level cache disabled
2026-05-15 16:50:29.527 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - [addTransformer,87] - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-15 16:50:29.559 [main] INFO  com.zaxxer.hikari.HikariDataSource - [getConnection,109] - HikariPool-1 - Starting...
2026-05-15 16:50:29.692 [main] INFO  com.zaxxer.hikari.pool.HikariPool - [checkFailFast,554] - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@990b86b
2026-05-15 16:50:29.696 [main] INFO  com.zaxxer.hikari.HikariDataSource - [getConnection,122] - HikariPool-1 - Start completed.
2026-05-15 16:50:30.685 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - [initiateService,59] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-15 16:50:30.739 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - [buildNativeEntityManagerFactory,437] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-15 16:50:31.047 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - [configure,112] - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailService
2026-05-15 16:50:31.080 [main] INFO  o.s.data.jpa.repository.query.QueryEnhancerFactory - [<clinit>,49] - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-05-15 16:50:31.313 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - [destroy,650] - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-05-15 16:50:31.315 [main] INFO  com.zaxxer.hikari.HikariDataSource - [close,349] - HikariPool-1 - Shutdown initiated...
2026-05-15 16:50:31.321 [main] INFO  com.zaxxer.hikari.HikariDataSource - [close,351] - HikariPool-1 - Shutdown completed.
2026-05-15 16:50:31.322 [main] INFO  org.apache.catalina.core.StandardService - [log,173] - Stopping service [Tomcat]
2026-05-15 16:50:31.334 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - [logMessage,82] - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2026-05-15 16:56:25.187 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 8.0.2.Final
2026-05-15 16:56:25.228 [main] INFO  com.weiyj.web.WeiblogMdWebApplication - [logStarting,50] - Starting WeiblogMdWebApplication using Java 17.0.12 with PID 1796 (E:\WorkSpace\weiBlog\server\weiblog-md-web\target\classes started by Administrator in E:\WorkSpace\weiBlog\server)
2026-05-15 16:56:25.229 [main] INFO  com.weiyj.web.WeiblogMdWebApplication - [logStartupProfileInfo,660] - The following 1 profile is active: "dev"
2026-05-15 16:56:26.153 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - [registerRepositoriesIn,143] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-15 16:56:26.215 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - [registerRepositoriesIn,211] - Finished Spring Data repository scanning in 54 ms. Found 2 JPA repository interfaces.
2026-05-15 16:56:26.791 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - [initialize,111] - Tomcat initialized with port 8080 (http)
2026-05-15 16:56:26.805 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
